广州期货交易所期货历史行情表(2023)
交易日期,品种名称,交割月份,合约代码,前结算价,开盘价,最高价,最低价,收盘价,结算价,涨跌,涨跌1,成交量,持仓量,持仓量变化,成交额
20230103,工业硅,2308,si2308,18070.00,17870.00,18040.00,17600.00,17770.00,17815.00,-300.00,-255.00,15386,7390,-318,1370863250
20230103,工业硅,2309,si2309,17865.00,17710.00,17820.00,17490.00,17630.00,17660.00,-235.00,-205.00,99,606,-11,8742525
20230103,工业硅,2310,si2310,17815.00,17560.00,17560.00,17560.00,17560.00,17675.00,-255.00,-140.00,13,203,0,1149050
20230103,工业硅,2311,si2311,17770.00,17595.00,17640.00,17225.00,17415.00,17480.00,-355.00,-290.00,33,586,-2,2884375
20230103,工业硅,2312,si2312,17900.00,17570.00,17770.00,17450.00,17545.00,17620.00,-355.00,-280.00,24,444,-4,2114775
20230104,工业硅,2308,si2308,17815.00,17715.00,18050.00,17555.00,17640.00,17850.00,-175.00,35.00,14744,7502,112,1315988275
20230104,工业硅,2309,si2309,17660.00,17715.00,17895.00,17495.00,17500.00,17755.00,-160.00,95.00,142,602,-4,12609175
20230104,工业硅,2310,si2310,17675.00,17760.00,17825.00,17555.00,17555.00,17735.00,-120.00,60.00,7,202,-1,620725
20230104,工业硅,2311,si2311,17480.00,17530.00,17630.00,17325.00,17375.00,17540.00,-105.00,60.00,24,584,-2,2104875
20230104,工业硅,2312,si2312,17620.00,17715.00,17715.00,17485.00,17485.00,17620.00,-135.00,0.00,4,445,1,352425
20230105,工业硅,2308,si2308,17850.00,17615.00,17800.00,17500.00,17585.00,17640.00,-265.00,-210.00,10709,7552,50,944738150
20230105,工业硅,2309,si2309,17755.00,17465.00,17615.00,17365.00,17440.00,17490.00,-315.00,-265.00,119,612,10,10408625
20230105,工业硅,2310,si2310,17735.00,17395.00,17430.00,17330.00,17330.00,17380.00,-405.00,-355.00,7,201,-1,608350
20230105,工业硅,2311,si2311,17540.00,17400.00,17440.00,17095.00,17245.00,17300.00,-295.00,-240.00,42,593,9,3634000
20230105,工业硅,2312,si2312,17620.00,17505.00,17505.00,17470.00,17480.00,17485.00,-140.00,-135.00,7,445,0,612075
20230106,工业硅,2308,si2308,17640.00,17530.00,17825.00,17530.00,17820.00,17675.00,180.00,35.00,8604,7712,160,760446375
20230106,工业硅,2309,si2309,17490.00,17540.00,17645.00,17430.00,17645.00,17545.00,155.00,55.00,64,645,33,5615000
20230106,工业硅,2310,si2310,17380.00,17365.00,17420.00,17365.00,17420.00,17390.00,40.00,10.00,2,200,-1,173925
20230106,工业硅,2311,si2311,17300.00,17300.00,17325.00,17265.00,17325.00,17300.00,25.00,0.00,19,592,-1,1643875
20230106,工业硅,2312,si2312,17485.00,17735.00,17735.00,17460.00,17475.00,17555.00,-10.00,70.00,3,445,0,263350
20230109,工业硅,2308,si2308,17675.00,17850.00,17920.00,17670.00,17695.00,17785.00,20.00,110.00,12281,12581,4869,1092323325
20230109,工业硅,2309,si2309,17545.00,17545.00,17660.00,17545.00,17580.00,17550.00,35.00,5.00,1647,2188,1543,144563050
20230109,工业硅,2310,si2310,17390.00,17390.00,17570.00,17390.00,17555.00,17475.00,165.00,85.00,5,201,1,436950
20230109,工业硅,2311,si2311,17300.00,17385.00,17405.00,17315.00,17315.00,17365.00,15.00,65.00,16,595,3,1389300
20230109,工业硅,2312,si2312,17555.00,17600.00,17650.00,17585.00,17585.00,17615.00,30.00,60.00,5,447,2,440400
